id,text,LN1,LN2,LN3,LN4,LN5,LN6,LN7,LN8,LN9,LN10,LN11,LN12,LN13,LN14,LN15,LN16,LN17,LN18,LN19,LN20,LN21
47,经审理查明：2012年9月24日，建行洛江支行与被告美格兰公司签订编号为2012年建泉洛保理（有）字8号的《有追索权国内保理合同》及编号为2012年建泉洛应收登字8号的《应收账款质押/转让登记协议》，由建行洛江支行向被告美格兰公司核定保理预付款最高额度为2000万元，额度有效期自合同生效之日起至2013年9月19日，保理预付款利息采用按月支付方式，即建行洛江支行于每月第20日向被告美格兰公司计收利息，利率按每笔保理预付款发放当日中国人民银行公布的同期同档次贷款基准利率计收利息等。,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
48,根据上述《有追索权国内保理合同》和《应收账款质押/转让登记协议》，建行洛江支行受让了被告美格兰公司对被告百鑫公司所享有的6133981.40元和6877251.16元以及12235958.69元三笔应收账款债权，总计25247191.25元。,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,建行洛江支行与被告美格兰公司就上述三笔应收账款债权向中国人民银行征信中心办理了应收账款质押登记。,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,建行洛江支行分别于2012年9月27日、2012年10月12日、2012年10月26日向被告美格兰公司支付预付款3笔，金额分别为978万元、490万元、532万元，预付款到期日分别为：2013年2月28日，金额508万元；,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,2013年3月10日，金额470万元；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2013年3月25日，金额490万元；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2013年4月16日，金额532万元。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2012年9月24日，建行洛江支行与被告李逸程、张淑芬签订了编号为2012年建泉洛自高保字70号《自然人最高额保证合同》，约定被告李逸程、张淑芬为被告美格兰公司在2012年9月24日至2013年9月19日期间办理的上述保理业务提供最高额连带责任保证担保，最高限额为5000万元。,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,2014年9月1日，原告信达公司与中国建设银行股份有限公司福建省分行签订了编号FJ007号《债权转让协议》，依法受让上述债权，并在福建日报上进行债权转让及催收公告。,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,本院认为：建行洛江支行与被告美格兰公司签订的《有追索权国内保理合同》、《应收账款质押/转让登记协议》，系双方当事人真实意思表示，内容未违反法律、法规强制性规定，故合同合法有效。,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,建行洛江支行已履行了《有追索权国内保理业务合同》项下所有义务，但应收账款到期后，被告百鑫公司拒绝付款，被告美格兰公司也拒绝回购债权，已构成违约。,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,建行洛江支行与被告李逸程、张淑芬签订的《自然人最高额保证合同》，也系双方当事人真实意思表示，内容未违反法律、法规强制性规定，保证合同合法有效。,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,原告信达公司与中国建设银行股份有限公司福建省分行签订的《债权转让协议》，内容未违反法律、法规强制性规定，并依法进行债权转让及催收公告，债权转让合法有效，原告信达公司有权就受让的债权主张权利。,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,综上，原告信达公司的诉讼请求，事实清楚，证据充分，具有相应的事实和法律依据，本院依法予以支持。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,被告美格兰公司、百鑫公司、李逸程、张淑芬经本院合法传唤，无正当理由拒不到庭参加诉讼，本院依法缺席审理和判决。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,据此，依照《中华人民共和国合同法》第六十条第一款、第七十九条、第八十条第一款，《中华人民共和国担保法》第十八条、第三十一条，《中华人民共和国民事诉讼法》第六十四条第一款、第一百四十四条之规定，判决如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,一、被告厦门百鑫实业有限公司应于本判决生效后十日内向原告中国信达资产管理股份有限公司福建省分公司支付应收账款共计25247191.25元和逾期付款损失（至2015年5月31日止的逾期付款损失为5103545.89元，及自2015年6月1日起至还清款项之日止，按本金25247191.25元以中国人民银行公布的同期同档三年期贷款利率6.15%的1.5倍计算至该笔欠款实际还清之日止）；,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,二、若被告厦门百鑫实业有限公司未按上述判决履行义务，被告福建美格兰体育用品有限公司应于本判决生效后十五日内在保理预付款2000万元及相应利息、违约金等范围内对被告厦门百鑫实业有限公司的上述债务承担回购责任，向原告中国信达资产管理股份有限公司福建省分公司返还保理预付款2000万元，并支付利息和违约金（至2015年5月31日止的利息为3395164.85元和违约金为3171395.22元，自2015年6月1日起至还清款项之日止，按2012年建泉洛保理（有）字8号的《有追索权国内保理合同》约定及中国人民银行相关规定计算）；,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,三、被告李逸程、张淑芬对被告福建美格兰体育用品有限公司的上述债务承担连带清偿责任；,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,其承担责任后，有权向被告福建美格兰体育用品有限公司追偿。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,如未按本判决指定的期间履行给付金钱义务，应当依照《中华人民共和国民事诉讼法》第二百五十三条之规定，加倍支付迟延履行期间的债务利息。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,本案受理费193553元和公告费560元，由被告福建美格兰体育用品有限公司、厦门百鑫实业有限公司、李逸程、张淑芬共同负担。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,原告信鑫投资担保公司诉称，被告朱传立在2013年6月1日向原告出具书面个人借款承诺书，提出向商丘华商农村商业银行贷款500000元，请原告担保。,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,为此朱传立提供收入证明及担保人（刘天华、贾善坤、贾其亮、王春秋、韩怀亮、王明奎、李春宁、王雪梅）收入证明，并且担保人亦出具了无限连带责任承诺书，在此基础上原告愿意为其担保，于2013年6月7日与商丘华商农村商业银行签订了担保合同，约定朱传立到期无法偿还所借欠款，由原告代为偿还。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,合同生效后，因被告到期未偿还所借欠款，商丘华商农村商业银行在2014年6月30日从原告账户处划走530667.5元，至今朱传立没有偿还，随诉至法院，要求依法判令被告偿还借款本金530667.5元，被告朱传立、刘天华、贾善坤、贾其亮、王春秋、韩怀亮、王明奎、李春宁、王雪梅依法在担保范围内承担无限连带担保责任，诉讼费由被告承担。,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,被告朱传立未到庭应诉及答辩。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,本院认为，原告向商丘华商农村商业银行股份有限公司文化路支行承担了担保责任，履行了还款的义务，原告依法取得了追偿权。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,根据《中华人民共和国担保法》的规定，原告要求被告朱传立偿还借款530667.5元的诉讼请求予以支持。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,因被告朱传立没有还款的行为导致原告替被告朱传立偿还了借款，被告刘天华、贾善坤、贾其亮、王春秋、韩怀亮、王明奎、李春宁、王雪梅对被告朱传立借款的行为向原告提供了连带担保承诺，故原告要求被告刘天华、贾善坤、贾其亮、王春秋、韩怀亮、王明奎、李春宁、王雪梅承担连带担保责任的请求应予支持。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,根据《中华人民共和国担保法》第十八条，第三十一条，最高人民法院关于适用《中华人民共和国担保法》若干问题的解释第43条，《中华人民共和国民事诉讼法》第一百四十四条之规定，判决如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,一、被告朱传立在本判决生效后十日内向原告商丘市睢阳区信鑫中小企业投资担保有限公司共同偿还借款530667.5元。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,二、被告刘天华、贾善坤、贾其亮、王春秋、韩怀亮、王明奎、李春宁、王雪梅对上述款项承担连带清偿责任。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,如未按本判决指定的期限履行给付金钱义务，应当按照《中华人民共和国民事诉讼法》第二百五十三条的规定加倍支付迟延履行期间的债务利息。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,一审案件受理费9106元，由被告朱传立负担。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,被告鑫思盛公司、毛朝来共同答辩称：一、中国工商银行股份有限公司余姚支行在向原告转让债权之前已经向法院申请实现担保物权，所以原告起诉违反了一事不再理的原则，请求法院驳回原告的诉讼请求。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,二、本案所涉借款既存在抵押物又存在保证的，且抵押物是借款人的抵押物的，原告应该先实现抵押物权，抵押物不足的情况下，才能向保证人请求，现原告在没有实现抵押物权的情况下，向被告鑫思盛公司、毛朝来主张保证责任，视为放弃了抵押物权，保证人在原告放弃物权范围内应该是免责的。,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,被告尔鸿公司、郑丽萍经本院合法传唤，无正当理由拒不到庭参加诉讼，视为其自动放弃质证权利。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,原告向本院提供《最高额保证合同》两份、《小企业借款合同》三份、《国内预付款融资合同》一份、借款借据五份、债权转让协议及《浙江法制报》一份。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,被告鑫思盛公司、毛朝来对《最高额保证合同》、债权转让协议及《浙江法制报》的真实性无异议，对《小企业借款合同》、《国内预付款融资合同》、借款借据表示不清楚具体债务，但根据人民银行的企业信用报告查询结果显示，被告尔鸿公司存在还款情况。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,经审核，本院对原告提供的上述证据予以认定。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,被告鑫思盛公司、毛朝来向本院提供（2014）甬余商特字第15号、（2014）甬余商特字第16号民事裁定书各一份，证明中国工商银行股份有限公司余姚支行已经主张过抵押物权。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,原告对该组证据真实性无异议，认为原告在《最高额保证合同》中已经约定主债权存在物的担保的，不论该物的担保是由债权人提供还是由第三人提供，债权人有权要求保证人先承担保证责任，保证人承诺不因此而提出抗辩，债权人放弃、变更、或丧失其他担保权益的，保证人的保证责任仍持续有效，不因此而无效或减免。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,且（2014）甬余商特字第15号、（2014）甬余商特字第16号民事裁定书因执行程序最终流拍，执行程序已经终结。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,本院认为，原告异议成立，对该组证据真实性予以认定，对关联性不予认定。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,被告鑫思盛公司、毛朝来向本院提供企业信用报告一份，证明涉案借款已部分清偿的事实。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,原告对该证据真实性无异议，认为系中国工商银行股份有限公司余姚支行向原告转让债权，才会在企业信用报告中出现结清还款。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,本院认为，企业信用报告中涉案借款的结清日期能够与原告中国工商银行股份有限公司余姚支行向原告转让债权时间相对应，且被告鑫思盛公司、毛朝来没有其他证据证明涉案借款已经实际清偿，故本院对该证据的真实性予以认定，对关联性不予认定。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,根据本院认定的证据以及原、被告在庭审中的陈述，本院查明的事实如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,一、借款时间：2013年5月7日、2013年8月19日、2013年10月30日、2013年11月4日；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,本院认为：原、被告之间的金融不良债权追偿关系合法有效，并依法履行了通知义务，现原告的诉讼请求符合法律规定，本院予以支持。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,被告鑫思盛公司、毛朝来在为被告尔鸿公司提供担保时已经约定主债权存在物的担保的，不论该物的担保是由债权人提供还是由第三人提供，债权人有权要求保证人先承担保证责任，债权人放弃、变更、或丧失其他担保权益的，保证人的保证责任仍持续有效，故中国工商银行股份有限公司余姚支行在向原告转让债权之前向法院申请实现担保物权并不影响原告起诉要求被告鑫思盛公司、毛朝来承担保证责任，但原告在本案与（2014）甬余商特字第15号案件中实现的主债权总计不得超过27000000元。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,且在本案法庭辩论终结前，（2014）甬余商特字第15号民事裁定书执行程序终结，涉案借款的抵押物权尚未实现，故被告鑫思盛公司、毛朝来的抗辩本院不予支持。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,同时，本院注意到被告宁波鑫思盛园林机械有限公司、毛朝来、郑丽萍对本案主债权中的借款期限为2013年10月31日起至2014年3月20日的7700000元、借款期限为2013年10月31日起至2014年4月20日的7700000元、借款期限为2013年11月4日起至2014年4月20日的4000000元承担保证责任，根据《最高人民法院关于适用《中华人民共和国合同法》若干问题的解释（二）》规定，涉案借款实现抵押物权后若不足以清偿本案全部债务，应优先抵充对债权人缺乏担保或者担保数额最少的债务，故借款期限为2013年5月7日起至2014年4月15日的3500000元和借款期限为2013年8月19日起至2014年8月18日的4100000元应在抵押物权实现后优先受偿。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,被告尔鸿公司、郑丽萍不到庭参加诉讼，不影响本院依法审判。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,据此，依照《中华人民共和国合同法》第七十九条、第八十条、第二百零五条、第二百零六条、第二百零七条，《中华人民共和国担保法》第十八条、第二十一条、第三十一条，最高人民法院《关于审理涉及金融资产管理公司收购、管理、处置国有银行不良贷款形成的资产的案件适用法律若干问题的规定》第六条，《中华人民共和国民事诉讼法》第一百四十四条，判决如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,一、被告宁波尔鸿工艺制品有限公司归还原告中国信达资产管理股份有限公司浙江省分公司借款本金7700000元，支付利息36891.56，并支付自2014年3月21日起至判决确定的履行日止按合同约定的罚息、复利；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,二、被告宁波尔鸿工艺制品有限公司归还原告中国信达资产管理股份有限公司浙江省分公司借款本金3500000元，支付利息34650元，并支付自2014年4月16日起至判决确定的履行日止按合同约定的罚息、复利；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,三、被告宁波尔鸿工艺制品有限公司归还原告中国信达资产管理股份有限公司浙江省分公司借款本金11700000元，支付利息118118元，并支付自2014年4月21日起至判决确定的履行日止按合同约定的罚息、复利；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,四、被告宁波尔鸿工艺制品有限公司归还原告中国信达资产管理股份有限公司浙江省分公司借款本金4100000元，支付利息134548.33元，并支付自2014年8月19日起至判决确定的履行日止按合同约定的罚息、复利；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
